Player1 Player2 Result
MMTP2 MMTP4 0,1,1
MMTP4 MMTP2 1,0,1
MMTP2 MMFP2 2,0,0
MMTP2 MMFP4 1,1,0
MMTP4 MMFP2 1,1,0
MMTP4 MMFP4 1,0,1
MMTP2 MMCWL2 1,1,0
MMTP2 MMCWL4 1,1,0
MMTP4 MMCWL2 0,2,0
MMTP4 MMCWL4 0,2,0
MMTP2 MMCW2 0,0,2
MMTP2 MMCW4 0,0,2
MMTP4 MMCW2 0,1,1
MMTP4 MMCW4 0,1,1
MMTP2 MMC2 0,2,0
MMTP2 MMC4 2,0,0
MMTP4 MMC2 1,1,0
MMTP4 MMC4 1,1,0
MMTP2 MMB2 2,0,0
MMTP2 MMB4 2,0,0
MMTP4 MMB2 2,0,0
MMTP4 MMB4 1,1,0
MMFP2 MMTP2 0,0,2
MMFP2 MMTP4 0,2,0
MMFP4 MMTP2 0,0,2
MMFP4 MMTP4 0,1,1
MMFP2 MMFP4 2,0,0
MMFP4 MMFP2 0,1,1
MMFP2 MMCWL2 0,0,2
MMFP2 MMCWL4 0,1,1
MMFP4 MMCWL2 0,0,2
MMFP4 MMCWL4 0,0,2
MMFP2 MMCW2 0,0,2
MMFP2 MMCW4 0,0,2
MMFP4 MMCW2 0,0,2
MMFP4 MMCW4 0,0,2
MMFP2 MMC2 0,0,2
MMFP2 MMC4 0,2,0
MMFP4 MMC2 0,0,2
MMFP4 MMC4 0,1,1
MMFP2 MMB2 1,1,0
MMFP2 MMB4 0,1,1
MMFP4 MMB2 0,2,0
MMFP4 MMB4 0,2,0
MMCWL2 MMTP2 1,0,1
MMCWL2 MMTP4 2,0,0
MMCWL4 MMTP2 1,0,1
MMCWL4 MMTP4 1,0,1
MMCWL2 MMFP2 2,0,0
MMCWL2 MMFP4 2,0,0
MMCWL4 MMFP2 1,0,1
MMCWL4 MMFP4 2,0,0
MMCWL2 MMCWL4 0,2,0
MMCWL4 MMCWL2 0,2,0
MMCWL2 MMCW2 0,0,2
MMCWL2 MMCW4 0,0,2
MMCWL4 MMCW2 0,0,2
MMCWL4 MMCW4 0,0,2
MMCWL2 MMC2 0,1,1
MMCWL2 MMC4 2,0,0
MMCWL4 MMC2 0,1,1
MMCWL4 MMC4 0,2,0
MMCWL2 MMB2 2,0,0
MMCWL2 MMB4 2,0,0
MMCWL4 MMB2 2,0,0
MMCWL4 MMB4 2,0,0
MMCW2 MMTP2 1,0,1
MMCW2 MMTP4 2,0,0
MMCW4 MMTP2 1,0,1
MMCW4 MMTP4 1,0,1
MMCW2 MMFP2 2,0,0
MMCW2 MMFP4 2,0,0
MMCW4 MMFP2 1,0,1
MMCW4 MMFP4 2,0,0
MMCW2 MMCWL2 0,2,0
MMCW2 MMCWL4 0,2,0
MMCW4 MMCWL2 0,2,0
MMCW4 MMCWL4 0,2,0
MMCW2 MMCW4 0,1,1
MMCW4 MMCW2 0,1,1
MMCW2 MMC2 0,1,1
MMCW2 MMC4 2,0,0
MMCW4 MMC2 0,1,1
MMCW4 MMC4 0,2,0
MMCW2 MMB2 2,0,0
MMCW2 MMB4 2,0,0
MMCW4 MMB2 2,0,0
MMCW4 MMB4 2,0,0
MMC2 MMTP2 0,1,1
MMC2 MMTP4 1,1,0
MMC4 MMTP2 0,0,2
MMC4 MMTP4 1,0,1
MMC2 MMFP2 2,0,0
MMC2 MMFP4 1,1,0
MMC4 MMFP2 0,0,2
MMC4 MMFP4 1,1,0
MMC2 MMCWL2 1,1,0
MMC2 MMCWL4 1,1,0
MMC4 MMCWL2 0,0,2
MMC4 MMCWL4 0,2,0
MMC2 MMCW2 0,0,2
MMC2 MMCW4 0,0,2
MMC4 MMCW2 0,0,2
MMC4 MMCW4 0,0,2
MMC2 MMC4 1,1,0
MMC4 MMC2 0,1,1
MMC2 MMB2 2,0,0
MMC2 MMB4 2,0,0
MMC4 MMB2 2,0,0
MMC4 MMB4 2,0,0
MMB2 MMTP2 0,0,2
MMB2 MMTP4 0,0,2
MMB4 MMTP2 0,0,2
MMB4 MMTP4 0,0,2
MMB2 MMFP2 0,1,1
MMB2 MMFP4 0,0,2
MMB4 MMFP2 0,1,1
MMB4 MMFP4 0,0,2
MMB2 MMCWL2 0,0,2
MMB2 MMCWL4 0,0,2
MMB4 MMCWL2 0,0,2
MMB4 MMCWL4 0,0,2
MMB2 MMCW2 0,0,2
MMB2 MMCW4 0,0,2
MMB4 MMCW2 0,0,2
MMB4 MMCW4 0,0,2
MMB2 MMC2 0,0,2
MMB2 MMC4 0,0,2
MMB4 MMC2 0,0,2
MMB4 MMC4 0,0,2
MMB2 MMB4 2,0,0
MMB4 MMB2 0,0,2
